JJJ9K01 120 600
BBB5C67 2000 12000
CCC8D90 150 500
DDD1E23 300 2000
EEE4F56 1000 8000
FFF7G89 75 300
GGG0H12 250 1500
HHH3I45 500 5000
III6J78 800 10000
AAA1234 50 100
AB111222333CD 49.990002 2 1
EF444555666GH 5000.009766 1234 7000
IJ777888999KL 100.000000 49 10
MN000111222OP 65.010002 3 125
QR333444555ST 200.009995 13 4875
UV666777888WX 30.500000 5 20
YZ999000111AB 150.750000 10 100
CD222333444EF 75.250000 15 250
GH555666777IJ 200.000000 20 500
KL888999000LM 99.989998 25 1000
NO111222333PQ 45.000000 30 50
RS444555666TU 60.000000 35 75
VW777888999XY 85.000000 40 200
ZA000111222BC 120.000000 45 300
DE333444555FG 250.000000 50 1000
HI666777888JK 300.000000 55 1500
LM999000111NO 400.000000 60 2000
PQ222333444RS 500.000000 65 2500
ST555666777UV 600.000000 70 3000
VX888999000WY 700.000000 75 3500
YZ111222333AB 800.000000 80 4000
BC444555666CD 900.000000 85 4500
EF777888999GH 1000.000000 90 5000
IJ111222333KL 1100.000000 95 5500
MN444555666OP 1200.000000 100 6000
QR777888999ST 1300.000000 105 6500
UV000111222WX 1400.000000 110 7000
YZ333444555AB 1500.000000 115 7500
CD666777888EF 1600.000000 120 8000
GH999000111IJ 1700.000000 125 8500
KL222333444LM 1800.000000 130 9000
NO555666777PQ 1900.000000 135 9500
RS888999000TU 2000.000000 140 10000
VW111222333XY 2100.000000 145 10500
ZA444555666BC 2200.000000 150 11000
DE777888999FG 2300.000000 155 11500
HI000111222JK 2400.000000 160 12000
LM333444555NO 2500.000000 165 12500
PQ666777888RS 2600.000000 170 13000
ST999000111UV 2700.000000 175 13500
